종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
유비벨록스,16980,10,-0.06%,500,28976,1266,148,11.99,0.67,KOSDAQ
지어소프트,8170,430,5.56%,500,524019,1264,-31,67.52,-1.69,KOSDAQ
남화산업,6140,10,0.16%,200,5037,1264,177,7.26,11.81,KOSDAQ
제이엔케이히터,5430,100,1.88%,500,186391,1260,69,15.74,3.45,KOSDAQ
위메이드플레이,10930,510,-4.46%,500,226176,1254,9,10.76,-0.18,KOSDAQ
지아이텍,3175,5,-0.16%,100,78059,1250,69,28.6,9.19,KOSDAQ
흥구석유,8310,170,2.09%,100,296244,1246,14,92.33,3.01,KOSDAQ
비엠티,13590,130,-0.95%,500,12191,1240,230,7.66,7.03,KOSDAQ
코스맥스엔비티,6000,80,-1.32%,500,20160,1238,22,-6.97,-4.2,KOSDAQ
엔지켐생명과학,1454,55,3.93%,500,717978,1237,-147,-6.7,-13.19,KOSDAQ
엔비티,7270,110,-1.49%,100,489662,1234,23,-42.76,-0.57,KOSDAQ
세운메디칼,2815,35,1.26%,100,45278,1233,122,9.71,8.27,KOSDAQ
아이에이,418,3,0.72%,100,440837,1232,-25,-14.41,-0.64,KOSDAQ
이지케어텍,18000,30,-0.17%,500,45317,1230,-41,-12.22,-16.72,KOSDAQ
서플러스글로벌,3315,0,0.00%,100,40578,1226,319,9.5,8.01,KOSDAQ
알에프텍,3815,5,-0.13%,500,35576,1224,209,-43.85,3.7,KOSDAQ
엑스페릭스,5370,150,2.87%,500,8470470,1223,28,80.15,6.33,KOSDAQ
유일에너테크,10630,100,-0.93%,500,16485,1219,-193,132.88,11.83,KOSDAQ
타이거일렉,19300,120,-0.62%,500,9493,1219,31,-36.07,5,KOSDAQ
빅텍,4250,55,-1.28%,200,1087887,1218,17,-25.76,-0.25,KOSDAQ
신스틸,2935,30,1.03%,100,80066,1217,159,19.7,3.95,KOSDAQ
메쎄이상,2815,170,6.43%,100,749269,1217,86,19.96,13.41,KOSDAQ
오션브릿지,12160,230,1.93%,500,63712,1216,228,5.72,12.48,KOSDAQ
엠투엔,3015,0,0.00%,500,48576,1216,-48,8.66,2.69,KOSDAQ
대정화금,16870,140,0.84%,500,11536,1213,116,9.57,8.16,KOSDAQ
덕우전자,7610,0,0.00%,500,37573,1212,189,15.59,6.6,KOSDAQ
트루엔,11020,530,5.05%,100,453150,1212,90,12.16,14.74,KOSDAQ
휴센텍,1505,0,0.00%,100,0,1208,-41,20.07,18.84,KOSDAQ
오성첨단소재,1483,24,-1.59%,500,284894,1208,129,-21.19,0.83,KOSDAQ
일월지엠엘,8650,0,0.00%,500,0,1208,-32,-33.02,-28.95,KOSDAQ
디알젬,10660,260,-2.38%,500,11795,1207,170,17.77,13.66,KOSDAQ
JW신약,2490,10,0.40%,500,72417,1206,43,-3.33,1.48,KOSDAQ
아미노로직스,1365,20,1.49%,100,225388,1199,70,-9.04,-12.05,KOSDAQ
바이오에프디엔씨,13770,150,-1.08%,500,12825,1197,49,25.36,10.56,KOSDAQ
하이소닉,7940,60,-0.75%,1000,199578,1195,7,-53.29,4.45,KOSDAQ
선광,18050,60,0.33%,1000,18874,1191,268,5.65,2.22,KOSDAQ
지오릿에너지,2850,50,1.79%,100,222720,1190,-31,79.17,-6.34,KOSDAQ
스튜디오미르,22200,350,1.60%,100,18142,1190,33,63.43,6.56,KOSDAQ
코리아나,2975,15,0.51%,500,1930881,1190,9,58.33,1.37,KOSDAQ
한라IMS,6940,100,1.46%,500,58908,1187,88,1.69,4.51,KOSDAQ
시공테크,5920,150,-2.47%,500,1105412,1187,-52,14.47,4.36,KOSDAQ
자이글,8770,210,-2.34%,500,63527,1187,-27,-17.03,-6.25,KOSDAQ
원티드랩,12490,230,1.88%,500,594664,1181,89,23.13,18.33,KOSDAQ
샌즈랩,7820,20,-0.26%,100,28257,1180,21,49.49,24.25,KOSDAQ
매일홀딩스,8580,40,-0.46%,500,2619,1177,734,6.24,1.33,KOSDAQ
아이디스홀딩스,11360,120,-1.05%,500,5718,1176,943,3.62,8.82,KOSDAQ
대원산업,5860,80,1.38%,500,4358,1174,314,6.78,6.78,KOSDAQ
알에스오토메이션,12590,380,3.11%,500,93877,1171,19,-35.97,1.05,KOSDAQ
케이피에스,6240,0,0.00%,500,17283,1170,-86,-10.93,-13.46,KOSDAQ
라온테크,9270,130,1.42%,500,26262,1159,89,34.98,17.55,KOSDAQ
KCC건설,5390,190,3.65%,5000,48565,1153,-11,5.44,0.39,KOSDAQ
앤디포스,4895,45,0.93%,500,284708,1152,-14,-6.61,-10.63,KOSDAQ
엔브이에이치코리아,2725,25,-0.91%,500,36056,1149,532,-3.01,0.75,KOSDAQ
아모텍,7860,140,1.81%,500,38673,1149,-43,-21.53,-2.29,KOSDAQ
에이팩트,2710,25,-0.91%,500,87797,1148,46,-12.26,1.87,KOSDAQ
시스웍,889,0,0.00%,100,0,1143,-121,-6.3,-7.18,KOSDAQ
정상제이엘에스,7290,0,0.00%,500,7440,1143,167,8.3,12.59,KOSDAQ
코닉오토메이션,2750,0,0.00%,100,85630,1141,34,-17.86,-22.55,KOSDAQ
엘컴텍,1347,33,2.51%,500,2005644,1138,48,19.81,10.35,KOSDAQ
제일전기공업,10220,210,2.10%,500,38696,1135,74,15.05,4.61,KOSDAQ
희림,8150,30,-0.37%,500,289049,1135,101,25.31,3.83,KOSDAQ
제이아이테크,3460,20,-0.57%,100,128485,1134,114,8.52,18.12,KOSDAQ
야스,8680,120,1.40%,500,7822,1133,-48,-18.67,-0.57,KOSDAQ
셀루메드,2645,85,3.32%,500,93646,1132,-27,-5.53,-5.68,KOSDAQ
녹십자웰빙,6370,10,0.16%,500,7456,1131,84,13.88,5.53,KOSDAQ
오비고,9270,30,0.32%,500,18042,1128,-30,181.76,-7.04,KOSDAQ
마이크로디지탈,7210,70,0.98%,500,28849,1127,-80,-14.08,-29.43,KOSDAQ
현대에버다임,6280,50,-0.79%,500,174397,1125,157,15.66,3.97,KOSDAQ
예스24,4500,15,-0.33%,500,16285,1125,157,-50.56,0.18,KOSDAQ
솔본,4110,0,0.00%,500,32085,1124,-268,-28.15,-17.59,KOSDAQ
메가터치,5410,190,3.64%,500,2981495,1124,81,12.67,17.53,KOSDAQ
SBS콘텐츠허브,5230,30,-0.57%,500,13877,1123,121,14.69,4.11,KOSDAQ
이지바이오,3280,30,-0.91%,100,72609,1121,162,9.4,6.79,KOSDAQ
대양전기공업,11690,90,0.78%,500,8490,1118,-99,-48.31,-2.88,KOSDAQ
와이팜,2830,10,0.35%,500,32910,1116,43,12.75,-9.12,KOSDAQ
에스퓨얼셀,15960,560,3.64%,500,33516,1114,12,104.31,0.55,KOSDAQ
인성정보,2840,30,-1.05%,500,942797,1114,29,946.67,0.4,KOSDAQ
텔콘RF제약,994,86,-7.96%,100,2764100,1112,-41,10.35,-29.32,KOSDAQ
노랑풍선,7000,0,0.00%,500,16684,1109,-209,-15.52,-26.61,KOSDAQ
푸드나무,8250,90,1.10%,500,36148,1106,-21,-12.52,-3.79,KOSDAQ
