,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
655,대원화성,2000.0,50.0,-2.44%,500.0,81834.0,825.0,-74.0,-6.25,-7.21,KOSPI
656,제일연마,8230.0,110.0,-1.32%,500.0,2575.0,823.0,51.0,7.84,2.1,KOSPI
657,HL D&I,2165.0,0.0,0.00%,5000.0,21017.0,820.0,526.0,6.35,1.57,KOSPI
658,일신석재,1057.0,17.0,-1.58%,500.0,303334.0,819.0,39.0,55.63,2.26,KOSPI
659,미래산업,2690.0,155.0,-5.45%,500.0,975298.0,819.0,80.0,-3.61,6.34,KOSPI
660,금비,81700.0,2300.0,-2.74%,5000.0,6724.0,817.0,0.0,-5.93,-6.36,KOSPI
661,유니온,5180.0,30.0,-0.58%,500.0,90330.0,809.0,29.0,21.23,-2.46,KOSPI
662,대호에이엘,1218.0,21.0,-1.69%,500.0,744294.0,807.0,93.0,11.38,3.92,KOSPI
663,지엠비코리아,4225.0,0.0,0.00%,500.0,14198.0,806.0,111.0,11.61,2.25,KOSPI
664,사조오양,8530.0,60.0,-0.70%,5000.0,7319.0,804.0,102.0,5.04,2.59,KOSPI
665,조광페인트,6240.0,70.0,-1.11%,500.0,11139.0,799.0,-16.0,-16.96,-1.98,KOSPI
666,고려산업,3195.0,30.0,-0.93%,1000.0,57476.0,797.0,44.0,13.89,0.16,KOSPI
667,대동전자,7580.0,50.0,-0.66%,500.0,311.0,795.0,22.0,5.42,3.72,KOSPI
668,남성,2195.0,35.0,+1.62%,500.0,3220021.0,795.0,25.0,-9.15,1.13,KOSPI
670,에코프로비엠,242000.0,1000.0,-0.41%,500.0,433108.0,236679.0,3807.0,142.19,11.36,KOSDAQ
671,에코프로,694000.0,1000.0,-0.14%,500.0,233344.0,184796.0,6132.0,-321.89,5.04,KOSDAQ
672,셀트리온헬스케어,71600.0,2200.0,-2.98%,1000.0,518982.0,117757.0,2289.0,273.28,3.52,KOSDAQ
673,포스코DX,55900.0,1200.0,-2.10%,500.0,1330236.0,84987.0,647.0,101.64,6.12,KOSDAQ
674,엘앤에프,142100.0,2200.0,-1.52%,500.0,164932.0,51508.0,2663.0,38.4,11.9,KOSDAQ
678,HLB,32250.0,300.0,+0.94%,500.0,755061.0,41610.0,-747.0,-38.26,-11.53,KOSDAQ
679,알테오젠,73400.0,700.0,-0.94%,500.0,562840.0,38000.0,-294.0,632.76,-4.0,KOSDAQ
680,JYP Ent.,96200.0,900.0,-0.93%,500.0,181688.0,34168.0,966.0,29.77,18.53,KOSDAQ
681,셀트리온제약,83000.0,2700.0,-3.15%,500.0,228786.0,32876.0,382.0,122.78,4.2,KOSDAQ
682,레인보우로보틱스,162500.0,1800.0,-1.10%,500.0,330501.0,31497.0,13.0,131.47,8.25,KOSDAQ
686,HPSP,37700.0,1700.0,+4.72%,500.0,1125536.0,30597.0,852.0,34.52,37.45,KOSDAQ
687,리노공업,194900.0,19400.0,+11.05%,500.0,320745.0,29707.0,1366.0,32.44,22.92,KOSDAQ
688,펄어비스,38700.0,1900.0,-4.68%,100.0,578698.0,24864.0,164.0,-30.19,-3.33,KOSDAQ
689,클래시스,38150.0,1050.0,-2.68%,100.0,191227.0,24712.0,689.0,27.91,27.52,KOSDAQ
690,카카오게임즈,26350.0,150.0,-0.57%,100.0,289595.0,21742.0,1758.0,-7.57,-4.8,KOSDAQ
694,에스엠,88800.0,3400.0,-3.69%,500.0,251832.0,21162.0,910.0,16.0,5.91,KOSDAQ
695,솔브레인,268000.0,500.0,+0.19%,500.0,16675.0,20847.0,2071.0,16.53,19.0,KOSDAQ
696,이오테크닉스,157900.0,1300.0,-0.82%,500.0,77488.0,19453.0,928.0,55.64,13.07,KOSDAQ
697,휴젤,156600.0,3100.0,+2.02%,500.0,34001.0,19396.0,1014.0,29.81,5.89,KOSDAQ
698,동진쎄미켐,37050.0,0.0,0.00%,500.0,333158.0,19049.0,2163.0,12.56,12.2,KOSDAQ
702,위메이드,50900.0,700.0,-1.36%,500.0,482846.0,17203.0,-849.0,-20.31,-15.12,KOSDAQ
703,원익IPS,34700.0,250.0,-0.72%,500.0,122607.0,17032.0,976.0,-123.93,7.81,KOSDAQ
704,ISC,80200.0,1500.0,-1.84%,500.0,234721.0,17000.0,559.0,385.58,14.17,KOSDAQ
705,스튜디오드래곤,55200.0,1200.0,-2.13%,500.0,57616.0,16592.0,652.0,43.71,5.12,KOSDAQ
706,CJ ENM,75500.0,2000.0,-2.58%,5000.0,100704.0,16557.0,1374.0,-6.51,-1.94,KOSDAQ
710,주성엔지니어링,33250.0,350.0,-1.04%,500.0,507212.0,16043.0,1239.0,56.36,13.74,KOSDAQ
711,메디톡스,219500.0,500.0,+0.23%,500.0,26371.0,16020.0,467.0,147.51,6.23,KOSDAQ
712,삼천당제약,64800.0,2100.0,-3.14%,500.0,252142.0,15156.0,122.0,-2592.0,2.46,KOSDAQ
713,나노신소재,122000.0,1400.0,-1.13%,500.0,47419.0,14835.0,168.0,128.15,11.45,KOSDAQ
714,케어젠,27500.0,0.0,0.00%,100.0,100316.0,14772.0,336.0,39.57,11.81,KOSDAQ
718,하나마이크론,29100.0,0.0,0.00%,500.0,1135217.0,13945.0,1035.0,-215.56,4.73,KOSDAQ
719,더블유씨피,40900.0,1000.0,-2.39%,500.0,124166.0,13782.0,580.0,20.25,6.47,KOSDAQ
720,동화기업,66200.0,700.0,-1.05%,500.0,39460.0,13383.0,724.0,-71.34,2.39,KOSDAQ
721,루닛,90400.0,2700.0,-2.90%,500.0,375153.0,12871.0,-507.0,-60.59,-40.96,KOSDAQ
722,파라다이스,13830.0,220.0,-1.57%,500.0,472439.0,12690.0,104.0,18.71,0.45,KOSDAQ
726,대주전자재료,81200.0,900.0,-1.10%,500.0,28938.0,12570.0,120.0,-260.26,0.26,KOSDAQ
727,심텍,39400.0,4750.0,+13.71%,500.0,2796391.0,12551.0,3524.0,-28.12,23.18,KOSDAQ
728,에스티팜,64000.0,2600.0,-3.90%,500.0,135785.0,12038.0,179.0,104.23,3.28,KOSDAQ
729,현대바이오,30100.0,650.0,+2.21%,500.0,475540.0,11983.0,-264.0,-68.1,-21.38,KOSDAQ
730,성일하이텍,99000.0,700.0,-0.70%,500.0,29817.0,11896.0,483.0,31.62,12.62,KOSDAQ
734,덕산네오룩스,47350.0,1100.0,+2.38%,200.0,89557.0,11758.0,449.0,36.37,11.15,KOSDAQ
736,파크시스템스,166300.0,700.0,-0.42%,500.0,27234.0,11583.0,326.0,32.89,18.6,KOSDAQ
737,HK이노엔,40600.0,800.0,-1.93%,500.0,149822.0,11502.0,525.0,33.5,2.1,KOSDAQ
742,파마리서치,110600.0,2400.0,-2.12%,500.0,70794.0,11406.0,659.0,20.15,9.59,KOSDAQ
743,씨젠,21750.0,300.0,+1.40%,500.0,222973.0,11359.0,1965.0,-443.88,12.67,KOSDAQ
744,피엔티,49700.0,1100.0,-2.17%,500.0,88149.0,11302.0,778.0,27.04,7.17,KOSDAQ
745,에스앤에스텍,52300.0,700.0,+1.36%,500.0,339557.0,11219.0,160.0,46.82,8.23,KOSDAQ
746,메지온,37200.0,1050.0,-2.75%,500.0,82389.0,11006.0,-233.0,-41.8,-52.62,KOSDAQ
751,신성델타테크,39750.0,550.0,-1.36%,500.0,825959.0,10925.0,321.0,59.95,4.18,KOSDAQ
753,천보,104400.0,700.0,-0.67%,500.0,15229.0,10440.0,565.0,-28.74,7.01,KOSDAQ
754,에스에프에이,29000.0,250.0,-0.85%,500.0,27069.0,10414.0,1609.0,17.78,5.53,KOSDAQ
755,파두,20650.0,2200.0,-9.63%,100.0,1699840.0,10055.0,15.0,-2.83,-476.45,KOSDAQ
759,에코프로에이치엔,65500.0,100.0,+0.15%,500.0,222472.0,10025.0,414.0,23.18,20.68,KOSDAQ
760,와이지엔터테인먼트,53600.0,1700.0,-3.07%,500.0,407591.0,10012.0,466.0,13.91,7.01,KOSDAQ
761,엔켐,61500.0,100.0,-0.16%,500.0,107554.0,10005.0,154.0,-931.82,4.01,KOSDAQ
762,기가비스,78900.0,6700.0,+9.28%,200.0,392246.0,10001.0,338.0,29.97,25.91,KOSDAQ
763,HLB생명과학,9660.0,160.0,+1.68%,500.0,295842.0,9835.0,-202.0,-21.05,-15.93,KOSDAQ
767,포스코엠텍,23450.0,550.0,-2.29%,500.0,356066.0,9765.0,64.0,-3908.33,3.05,KOSDAQ
768,유진테크,42100.0,100.0,+0.24%,500.0,122945.0,9648.0,536.0,54.25,10.43,KOSDAQ
769,하나머티리얼즈,47050.0,600.0,+1.29%,500.0,131728.0,9294.0,937.0,14.26,17.36,KOSDAQ
771,레이크머티리얼즈,13990.0,50.0,+0.36%,100.0,565512.0,9196.0,354.0,31.65,14.93,KOSDAQ
775,차바이오텍,16230.0,230.0,-1.40%,500.0,235562.0,9140.0,-471.0,-28.67,-4.43,KOSDAQ
776,두산테스나,61700.0,3800.0,+6.56%,500.0,683851.0,9107.0,672.0,18.49,8.05,KOSDAQ
777,SFA반도체,5330.0,250.0,+4.92%,500.0,2231138.0,8766.0,629.0,-64.22,6.86,KOSDAQ
778,원텍,9920.0,80.0,-0.80%,100.0,1682441.0,8747.0,268.0,25.24,22.07,KOSDAQ
779,제이시스메디칼,11210.0,700.0,-5.88%,100.0,688288.0,8572.0,340.0,31.05,28.11,KOSDAQ
784,디어유,36000.0,600.0,-1.64%,500.0,33854.0,8546.0,163.0,39.09,11.46,KOSDAQ
785,제이앤티씨,14770.0,40.0,-0.27%,500.0,173712.0,8544.0,-443.0,-23.26,-10.67,KOSDAQ
786,윤성에프앤씨,105000.0,3000.0,-2.78%,100.0,44735.0,8378.0,321.0,27.73,11.63,KOSDAQ
787,인텔리안테크,77100.0,1400.0,-1.78%,500.0,63818.0,8275.0,153.0,107.38,5.07,KOSDAQ
791,이엠텍,48300.0,700.0,-1.43%,500.0,67183.0,8275.0,339.0,575.0,8.45,KOSDAQ
792,하림지주,7240.0,40.0,-0.55%,100.0,279171.0,8109.0,9413.0,3.45,4.57,KOSDAQ
793,고영,11800.0,40.0,+0.34%,100.0,200857.0,8101.0,443.0,61.46,10.34,KOSDAQ
794,제이오,25600.0,600.0,-2.29%,100.0,115811.0,8022.0,-23.0,72.93,-6.59,KOSDAQ
